,,,Date of load 2023 04 05,,,,,,,,,,,,,,,,,,
,NO.,CODE,DESCRIPTION,EURO,COLLI,KG,VALUE,,,,,,,,,,,,,,
3292,154.,EX SL,EXTRA SLIPPERS,"2,80€",10,200,"560,00€",,,,,,,,,,,,,,
3121,155.,SA A,"SUMMER ADULT ""A""","2,10€",10,350,"735,00€",,,,,,,,,,,,,,
3035,156.,SCH A,"SUMMER CHILDREN ""A""","2,80€",10,350,"980,00€",,,,,,,,,,,,,,
3129,157.,TSH A,"T-SHIRT ""A""","2,10€",10,350,"735,00€",,,,,,,,,,,,,,
3196,158.,CREX M W,CREAM&EXTRA MAN WINTER,"6,30€",10,350,"2 205,00€",,,,,,,,,,,,,,
3157,159.,CREX M S,CREAM&EXTRA MAN SUMMER,"6,30€",20,700,"4 410,00€",,,,,,,,,,,,,,
3045,161.,CREX W S,CREAM&EXTRA WOMAN SUMMER,"5,80€",10,350,"2 030,00€",,,,,,,,,,,,,,
3693,169.,SEX,SZEX KIEG,"2,10€",5,96,"201,60€",,,,,,,,,,,,,,
3102,172.,MC,MILITARY CLOTHES,"3,90€",1,35,"136,50€",,,,,,,,,,,,,,
3052,173.,EX YARN,EXTRA YARN,"3,40€",2,20,"68,00€",,,,,,,,,,,,,,
3614,180.,EX WMSH,EXTRA WINTER MAN SHIRT,"3,10€",20,700,"2 170,00€",,,,,,,,,,,,,,
3698,187.,WST A,"WAISTCOAT ""A""","2,50€",2,40,"100,00€",,,,,,,,,,,,,,
3226,195.,EX BE SH,EXTRA BEACH SHAWL,"3,80€",2,20,"76,00€",,,,,,,,,,,,,,
3199,196.,IJ,IMITATION JEWELLERY,"10,30€",5,10,"103,00€",,,,,,,,,,,,,,
3223,200.,ES,EASTERN SHAWL,"2,70€",2,25,"67,50€",,,,,,,,,,,,,,
3699,203.,KS,KARATE SUITS,"1,10€",5,175,"192,50€",,,,,,,,,,,,,,
3623,205.,WD,WEDDING DRESS,"3,00€",1,27,"81,00€",,,,,,,,,,,,,,
3611,209.,SS,SPORT SCARF,"1,40€",2,40,"56,00€",,,,,,,,,,,,,,
3702,210.,HS,HUNTER HAT,"2,50€",1,5,"12,50€",,,,,,,,,,,,,,
3703,212.,WC,WORKING CAPE,"0,60€",3,105,"63,00€",,,,,,,,,,,,,,
3228,215.,RC,RAINCOATS,"2,90€",1,35,"101,50€",,,,,,,,,,,,,,
3212,218.,MTR W A,"MAN TROUSERS WINTER ""A""","1,50€",3,90,"135,00€",,,,,,,,,,,,,,
3219,219.,HRTR,HORSE RIDING TROUSERS,"1,40€",1,35,"49,00€",,,,,,,,,,,,,,
3704,221.,APR,APRON,"1,30€",1,35,"45,50€",,,,,,,,,,,,,,
3627,228.,FH,FUR HAT,"3,10€",1,20,"62,00€",,,,,,,,,,,,,,
3665,233.,WTRS A XXL,WOMAN TROUSERS SUMMER A XXL,"1,80€",20,700,"1 260,00€",,,,,,,,,,,,,,
3229,244.,EX NCL,EXTRA NIGHTCLOTHES,"2,60€",2,60,"156,00€",,,,,,,,,,,,,,
3041,249.,CR SKS,CREAM SOCKS,"8,10€",1,10,"81,00€",,,,,,,,,,,,,,
3076,253.,EX MOLE,EXTRA MOTORCYCLE SUIT,"3,80€",1,30,"114,00€",,,,,,,,,,,,,,
3605,254.,CR MOLE,CREAM MOTORCYCLE SUIT,"8,50€",1,30,"255,00€",,,,,,,,,,,,,,
3166,256.,RET,RETRO,"5,10€",5,168,"856,80€",,,,,,,,,,,,,,
3180,256.,RET,RETRO HAND BAG,"5,10€",1,25,"127,50€",,,,,,,,,,,,,,
3705,256.,RET,VINTAGE JACKET,"5,10€",3,75,"382,50€",,,,,,,,,,,,,,
